cluster,pontos_auto,pontos_tele,total_pecas,links,vitoria,num_equipes,tipo_equipe
0,1.16,4.54,1.84,0.7,0.0,29,Em Desenvolvimento
1,3.17,12.29,4.0,1.26,0.0,13,Especialista Autônomo
